"Les données de l'enchère Day Ahead fournies dans le téléchargement sont exclusivement destinées à un usage privé et interne. L'utilisation de toute donnée, qu'elle soit brute ou dérivée, à des fins externes ou commerciales est expressément interdite. Si vous nécessitez une licence pour des données relatives au marché, veuillez contacter directement les fournisseurs de données originaux, y compris, mais sans s'y limiter, EPEX SPOT SE et Nord Pool AS. Déviant de cela, les données de prix de l'enchère Day Ahead pour les zones d'enchères suivantes sont publiées sans aucun changement sous la licence CC BY 4.0 (creativecommons.org/licenses/by/4.0) avec la source Bundesnetzagentur | SMARD.de : AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI.",
Date (TC+1),Day Ahead Auction (FR)
,"Prix (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,89.06
2022-01-01T01:00+01:00,78.48
2022-01-01T02:00+01:00,85.16
2022-01-01T03:00+01:00,50
2022-01-01T04:00+01:00,37.67
2022-01-01T05:00+01:00,39.7
2022-01-01T06:00+01:00,40.59
2022-01-01T07:00+01:00,43.26
2022-01-01T08:00+01:00,49.66
2022-01-01T09:00+01:00,70.05
2022-01-01T10:00+01:00,76.79
2022-01-01T11:00+01:00,84.1
2022-01-01T12:00+01:00,94.74
2022-01-01T13:00+01:00,96.8
2022-01-01T14:00+01:00,97.17
2022-01-01T15:00+01:00,98.52
2022-01-01T16:00+01:00,114.5
2022-01-01T17:00+01:00,149.97
2022-01-01T18:00+01:00,146.33
2022-01-01T19:00+01:00,140.28
2022-01-01T20:00+01:00,121.88
2022-01-01T21:00+01:00,102.61
2022-01-01T22:00+01:00,97.46
2022-01-01T23:00+01:00,85.16
2022-01-02T00:00+01:00,57.08
2022-01-02T01:00+01:00,52.59
2022-01-02T02:00+01:00,48.97
2022-01-02T03:00+01:00,34.94
2022-01-02T04:00+01:00,29.56
2022-01-02T05:00+01:00,33.97
2022-01-02T06:00+01:00,34.52
2022-01-02T07:00+01:00,41.8
2022-01-02T08:00+01:00,48.95
2022-01-02T09:00+01:00,60.01
2022-01-02T10:00+01:00,70.09
2022-01-02T11:00+01:00,66.26
2022-01-02T12:00+01:00,64.54
2022-01-02T13:00+01:00,46.96
2022-01-02T14:00+01:00,40.01
2022-01-02T15:00+01:00,39.3
2022-01-02T16:00+01:00,40.79
2022-01-02T17:00+01:00,47.91
2022-01-02T18:00+01:00,65.09
2022-01-02T19:00+01:00,67.85
2022-01-02T20:00+01:00,62.22
2022-01-02T21:00+01:00,46.16
2022-01-02T22:00+01:00,46.29
2022-01-02T23:00+01:00,32.93
2022-01-03T00:00+01:00,2.71
2022-01-03T01:00+01:00,1.71
2022-01-03T02:00+01:00,1.24
2022-01-03T03:00+01:00,0.06
2022-01-03T04:00+01:00,0.09
2022-01-03T05:00+01:00,1.44
2022-01-03T06:00+01:00,41.11
2022-01-03T07:00+01:00,90.54
2022-01-03T08:00+01:00,161.79
2022-01-03T09:00+01:00,180.36
2022-01-03T10:00+01:00,125.03
2022-01-03T11:00+01:00,100.74
2022-01-03T12:00+01:00,96.39
2022-01-03T13:00+01:00,95.22
2022-01-03T14:00+01:00,102.67
2022-01-03T15:00+01:00,112.87
2022-01-03T16:00+01:00,126.8
2022-01-03T17:00+01:00,148.49
2022-01-03T18:00+01:00,175.06
2022-01-03T19:00+01:00,180
2022-01-03T20:00+01:00,146.43
2022-01-03T21:00+01:00,105.71
2022-01-03T22:00+01:00,114.11
2022-01-03T23:00+01:00,100.36
2022-01-04T00:00+01:00,125.47
2022-01-04T01:00+01:00,115.55
2022-01-04T02:00+01:00,113.29
2022-01-04T03:00+01:00,105.81
2022-01-04T04:00+01:00,105
2022-01-04T05:00+01:00,115.11
2022-01-04T06:00+01:00,156.91
2022-01-04T07:00+01:00,182.64
2022-01-04T08:00+01:00,178.91
2022-01-04T09:00+01:00,190
2022-01-04T10:00+01:00,189.88
2022-01-04T11:00+01:00,182.42
2022-01-04T12:00+01:00,182.46
2022-01-04T13:00+01:00,179.59
2022-01-04T14:00+01:00,179
2022-01-04T15:00+01:00,180.93
2022-01-04T16:00+01:00,166.69
2022-01-04T17:00+01:00,189.88
2022-01-04T18:00+01:00,184.94
2022-01-04T19:00+01:00,178.99
2022-01-04T20:00+01:00,156.12
2022-01-04T21:00+01:00,148.65
2022-01-04T22:00+01:00,137.92
2022-01-04T23:00+01:00,105
2022-01-05T00:00+01:00,120.11
2022-01-05T01:00+01:00,105.1
2022-01-05T02:00+01:00,84.5
2022-01-05T03:00+01:00,75.38
2022-01-05T04:00+01:00,79.11
2022-01-05T05:00+01:00,94.79
2022-01-05T06:00+01:00,169.04
2022-01-05T07:00+01:00,215.98
2022-01-05T08:00+01:00,211.13
2022-01-05T09:00+01:00,226.52
2022-01-05T10:00+01:00,224.45
2022-01-05T11:00+01:00,202.8
